market,family,causal_logic,allowed_actions
US Equities,Structural bottleneck,Demand > slow supply response → pricing power → earnings duration,BUY/BUILD/HOLD/TRIM/SELL; tactical long/short/options if expression gate passes
US Equities,Product/adoption inflection,Usage/adoption velocity → monetization → operating leverage,BUY/BUILD/HOLD/TRIM/SELL; long/short/options
US Equities,Fundamental inflection,Revenue/margin/FCF/returns inflect before expectations,BUY/BUILD/HOLD/TRIM/SELL
US Equities,Policy/capex beneficiary,Appropriation/contract/capex converts to revenue,BUY/BUILD/HOLD/TRIM/SELL
US Equities,Structural short,Expectations remain high while economics deteriorate,SHORT/PUT/leveraged short only if risk gate passes
IHSG,Structural/fundamental/policy,"Same causal logic, Indonesia-specific macro/ownership/liquidity",BUY/BUILD/HOLD/TRIM/SELL/AVOID only
Crypto,Revenue + holder capture,Usage → fees/revenue → buyback/burn/distribution → net accrual,BUILD/HOLD/TRIM/SELL; leverage only after separate risk gate
Crypto,Usage + scarcity,Adoption/utility → effective float/issuance → scarcity,BUILD/HOLD/TRIM/SELL
Crypto,Dilution inflection,Unlock/emission trajectory changes net holder economics,BUILD/HOLD/TRIM/SELL
FX,Relative macro / policy hazard,Rates/BOP/valuation/positioning/intervention reaction,LONG/SHORT; leverage only when event-gap risk is acceptable
Commodities,Physical bottleneck,Production/consumption/inventory/spare capacity/curve,LONG/SHORT; futures/options expression gate
Cross-asset,Event propagation,War/policy/weather/technology shock propagates across causal graph,Choose best direct/2nd/3rd-order expression after price-in test
