experiment_id,claim,family,mechanism,observables,horizon_outcome,competing_explanation,null_hypothesis,pit_status,oos_design,controls,ablation,failure_domain,status
EXP-001,Yield curve re-steepening,Yield curve shape,Curve reflects policy/cycle expectations; source of steepening matters,"10Y-3M, front-end, long-end",6-24M recession/growth stress,Bear steepener from term premium rather than easing,No incremental information beyond growth/credit,PARTIAL,Temporal OOS; episode clustering,Other curve definitions / countries,Yes,Steepening decomposition and vintage risk,KEEP_CONDITIONAL
EXP-002,Credit-spread acceleration precedes severe drawdown,HY credit state + velocity,Risk-bearing/refinancing deteriorates before forced repricing,HY OAS level/change,6-12M drawdown/stress,Growth shock simultaneously drives both,No forward discrimination beyond baseline,PARTIAL,Temporal OOS; non-overlap,BBB / VIX matched controls,Yes,False positives; regime dependence,KEEP_STRESS_MODIFIER
EXP-003,VIX threshold predicts crash,Volatility term structure / vol-of-vol,None defensible for fixed level alone,VIX level,Forward crash,VIX is contemporaneous reaction,No incremental directional information,PARTIAL,Episode OOS,Credit-confirmed vs non-credit vol,Yes,Threshold instability,REJECT_FIXED_THRESHOLD
EXP-004,Fed assets-TGA-RRP supports risk assets,Reserve / central-bank plumbing,Balance-sheet identity may not equal deployable risk capital,"WALCL,TGA,RRP",Asset return,Repo/dealer capacity dominates transmission,No incremental return information after funding variables,NO_PIT_PROOF,Planned,Funding/liquidity controls,Planned,Structural regime change,REJECT_STANDALONE
EXP-005,First ATH after long gap has continuation edge,ATH research state,Price discovery after long base may reflect structural repricing,Price outcome state only,3/6/12M return,Macro/fundamental improvement drives both,No difference vs baseline after controls,RESEARCH_ONLY_PRICE_STATE,Episode-clustered non-overlap,Repeated ATH / baseline,Pending,Price-state use restricted to experiment lab,PROMISING_RESEARCH_ONLY
EXP-006,Repeated ATH alone predicts continuation,ATH research state,Persistence hypothesis,Price outcome state only,3/6/12M return,Autocorrelation / overlapping episodes,No incremental return beyond baseline,RESEARCH_ONLY_PRICE_STATE,Episode-clustered,First ATH / baseline,Yes,Small incremental edge,WEAK_STANDALONE
EXP-007,ATH + long-rate shock worsens forward distribution,ATH research + real yield/term premium,Higher discount rate offsets optimistic price state,ATH + long-rate shock,6/12M return/drawdown,Growth boom raises yields and earnings together,No downside shift after controls,RESEARCH_ONLY_PRICE_STATE,Non-overlap OOS-style episodes,ATH without rate shock,Pending,Sample size / revised rates,NEGATIVE_MODIFIER_CANDIDATE
EXP-008,High vol without credit stress is less systemic,Volatility + HY credit,Vol shock without financing deterioration should be more mean-reverting,VIX state + HY velocity,1-6M drawdown,Credit reacts with lag,No difference vs credit-confirmed stress,PARTIAL,Episode clustering,High vol + credit stress,Pending,Funding data incomplete,PLACEMENT_SUPPORTED
EXP-009,Growth-scare probability improves with EBP + FCI-G,Growth + credit + financial conditions,Financial conditions amplify/confirm forecast deterioration,SPF + EBP + FCI-G,4Q growth-scare label,Short sample creates apparent lift,No OOS lift over SPF baseline,PARTIAL_REVISED_HISTORY,Expanding OOS,SPF-only baseline,Yes,Worst fold weak; FCI-G short history,PROMISING_NOT_PROVEN
EXP-010,Soft landing needs many macro features,Macro scenario,More features should improve scenario discrimination,SPF + current + credit,4Q soft landing,Simple forecast state already sufficient,No improvement from added features,PARTIAL_REVISED_HISTORY,Expanding OOS,SPF-only,Yes,Added features worsened OOS,REJECT_COMPLEXITY
EXP-011,Backlog headline identifies monster winner,Bottleneck capture,Backlog only matters if it converts to revenue/margins/FCF,Backlog/orders/RPO,1-12M cross-sectional return,Backlog reflects delivery problems,No incremental return after monetization controls,DATA_GATED_PIT,Planned,Backlog-no-monetization negative control,Planned,PIT filings/revisions needed,REJECT_BACKLOG_ALONE
EXP-012,Bottleneck + monetization + pricing gap finds winners,Bottleneck selection,Binding constraint creates rents only if specific company captures and market underprices them,"Constraint evidence, orders, margins, FCF, PIT revisions, implied expectations",1-12M cross-sectional winner/loser,Theme beta / survivorship / crowding,No cross-sectional discrimination OOS,DATA_GATED_PIT,Planned,Sector peers / dead names / matched growth firms,Planned,Historical universe and PIT revisions missing,CORE_RESEARCH
EXP-013,Supply-chain bottleneck sentiment predicts generic macro regime,Supply pressure,Supply pressure may affect inflation but not whole macro state,SCB sentiment,Quarterly macro scenario,Signal is only near-term inflation pipeline,No generic macro improvement,PARTIAL,OOS test available,Inflation-specific target,Yes,Wrong horizon/placement,REJECT_GENERIC_KEEP_INFLATION
EXP-014,Dealer gamma is universal directional signal,Options structure,Dealer hedging can amplify short-term moves but sign assumptions uncertain,PIT option surface / dealer inventory,Intraday-days direction,Volatility/event premium explains result,No incremental info after vol controls,DATA_GATED,Planned,Matched vol/expiry controls,Planned,Dealer sign not observed,REJECT_UNIVERSAL
EXP-015,Macro analogs provide calibrated forward intervals,Macro state analog projection,Similar macro states may inform return distributions,Macro state + forward returns,1/3/6/12M distribution coverage,Nonstationarity / revised history,Coverage equals nominal only by chance,REVISED_HISTORY_ONLY,Calibration harness included,Random/matched analogs,Planned,PIT/vintage required,EXPLORATORY_ONLY
