source,target,mechanism,sign,lag,role,validation,condition
War escalation,Oil supply disruption,Production/export infrastructure can be disrupted,-,0-2Q,DIRECT,CONDITIONAL,Conflict touches producing/transit regions
War escalation,Shipping-lane disruption,Chokepoints/ports/sanctions disrupt routes,+,0-2Q,DIRECT,CONDITIONAL,Relevant maritime routes exposed
War escalation,War-risk insurance,Insurance premia rise,+,0-2Q,SECOND,CORE,Routes remain insurable
War escalation,Defense replenishment,Munitions/platform usage raises replenishment demand,+,0-8Q,DIRECT,CORE,Budgets/appropriations follow
War escalation,Cybersecurity demand,State-linked cyber risk raises security spend,+,0-8Q,SECOND,CONDITIONAL,Cyber threat activity rises
War escalation,Satellite / ISR demand,Conflict raises demand for sensing/communications,+,0-8Q,SECOND,CORE,Budgets available
War escalation,Ceasefire / de-escalation pressure,Economic/fiscal/political costs can raise de-escalation incentive,+,1-8Q,POLICY,CONDITIONAL,Costs become material; diplomacy feasible
Oil supply disruption,Crude oil price,Physical shortage raises crude prices,+,0-2Q,DIRECT,CORE,Spare capacity/SPR not fully offset
Shipping-lane disruption,Voyage distance / rerouting,Avoided routes lengthen voyages,+,0-2Q,DIRECT,CORE,Alternative routes used
Defense replenishment,Munitions / drones / electronics,Orders rise for consumed systems,+,1-12Q,SECOND,CORE,Procurement capacity available
Ceasefire / de-escalation pressure,Geopolitical risk premium,De-escalation lowers risk premium,-,0-2Q,MACRO,CORE,Ceasefire credible/durable
Crude oil price,Upstream oil producer cash flow,Higher realized prices improve upstream cash flow,+,0-2Q,DIRECT,CORE,Production volumes maintained
Crude oil price,Airline fuel cost,Jet fuel input costs rise,+,0-2Q,LOSER,CORE,Hedges/pass-through limited
Crude oil price,Petrochemical feedstock cost,Feedstock costs rise,+,0-2Q,LOSER,CORE,Product pricing lags
Crude oil price,Inflation pressure,Energy raises headline/input inflation,+,0-4Q,MACRO,CORE,Pass-through significant
Voyage distance / rerouting,Effective tanker supply,Longer voyages tie up vessel-days,-,0-2Q,SECOND,CORE,Cargo volumes persist
Geopolitical risk premium,Crude oil price,Lower risk premium can reduce oil price,+,0-2Q,NORMALIZATION,CONDITIONAL,No lasting physical shortage
Inflation pressure,Long yields / policy constraint,Sticky inflation can delay easing / lift yields,+,0-4Q,MACRO,CORE,Growth does not collapse first
Effective tanker supply,Tanker freight rates,Tighter vessel availability raises rates,-,0-2Q,SECOND,CORE,Demand remains
Long yields / policy constraint,Equity duration valuation,Higher discount rates pressure long-duration assets,-,0-4Q,LOSER,CORE,Earnings revisions do not offset
Tanker freight rates,Tanker operator earnings,Higher spot/charter rates raise earnings,+,0-2Q,DIRECT,CORE,Fleet exposure captures rates
