case,date,phase,scanner_state,evidence_known_then,causal_chain,source_url,publication_time_local,earliest_regular_session
SNDK,2025-03-26,Industry turn,DISCOVERED,NAND production cuts; restocking; wafer-price rebound expected,production cuts -> inventory normalization -> pricing power,https://www.trendforce.com/presscenter/news/20250326-12530.html,,
SNDK,2025-05-07,Company confirms supply discipline,WATCH / EARLY BUILD,SanDisk reduced supply and started raising prices; cloud revenue +103% YoY,supply discipline + AI/cloud demand -> NAND pricing -> margin recovery,https://investor.sandisk.com/news-releases/news-release-details/sandisk-reports-fiscal-third-quarter-2025-financial-results,16:05 ET,2025-05-08
SNDK,2025-08-14,Monetization confirms,BUILD,Revenue +12% QoQ; gross margin improves; cloud FY revenue +195%,pricing + mix -> margin -> EPS/FCF revision,https://investor.sandisk.com/news-releases/news-release-details/sandisk-reports-fiscal-fourth-quarter-2025-financial-results,16:05 ET,2025-08-15
SNDK,2026-04-30,Duration rerating,HOLD / VALUATION DEPENDENT,Multi-year customer commitments + earnings explosion,bottleneck -> contracted duration -> higher normalized earnings,https://investor.sandisk.com/news-releases/news-release-details/sandisk-reports-fiscal-third-quarter-2026-financial-results,,
PLTR,2023-09-07,AIP adoption velocity,DISCOVERED / WATCH,100+ organizations using AIP in <6 months,product -> adoption velocity -> sales-cycle compression,https://investors.palantir.com/news-details/2023/Palantir-Customers-to-Feature-Artificial-Intelligence-Platform-in-Action-at-AIPCon-with-30-Presentations-and-Demos,,
PLTR,2024-05-06,Bootcamp scaling + monetization,BUILD CANDIDATE,915+ organizations had participated in AIP bootcamps; commercial activity accelerating,adoption -> conversion -> commercial revenue -> operating leverage,https://investors.palantir.com/files/Palantir%20Q1%202024%20Business%20Update.pdf,after close ET,2024-05-07
VVV,2025-10-01,Value-capture design changes,WATCH,Company revenue designated for VVV buy/burn; annual emissions reduced,business revenue -> market buy -> burn + lower emissions -> net accrual,https://venice.ai/es/blog/venice-development-update-october-2025,,
VVV,2026-04-15,Programmatic value capture,BUILD CANDIDATE,Subscriptions trigger programmatic market buy/burn; discretionary burns already executed,usage -> revenue -> automatic holder capture -> supply reduction,https://venice.ai/blog/programmatic-vvv-buy-and-burn,,
ZEC,2025-04-01,Distribution/UX inflection,DISCOVERED,Brave Wallet adds shielded ZEC support; UX integrations expand,distribution + privacy UX -> real private usage,https://electriccoin.co/blog/shielded-zec-in-brave-wallet/,,
ZEC,2025-09-01,Usage + scarcity confirmation,BUILD CANDIDATE,Cross-chain private payment UX expands; post-halving issuance lower,usage -> shielded demand + lower issuance -> effective float/scarcity,https://electriccoin.co/blog/private-cross-chain-payments-with-zashi-crosspay/,,
USDJPY intervention,2026-06-30,Intervention hazard builds,HIGH HAZARD WATCH,Yen at multi-decade weakness; intervention zone discussion; speed/volatility focus; crowded shorts,depreciation speed + import pain + official reaction + positioning -> policy hazard,https://www.reuters.com/world/asia-pacific/tokyo-keeps-powder-dry-line-sand-yen-shifts-2026-06-30/,,
USDJPY intervention,2026-07-31,Intervention event,EVENT CONFIRMED,Japan intervenes to buy yen,policy hazard -> intervention -> FX reversal / carry deleveraging,https://www.reuters.com/world/asia-pacific/japan-may-have-sold-5897-billion-yen-buying-intervention-2026-07-31/,,
ADES,2021-07-13,Profitability inflection,DISCOVERED / WATCH,Q1 sales down but net profit +123%; evidence of operating efficiency/mix improvement,efficiency + mix -> margin -> EPS growth faster than sales,https://www.idxchannel.com/market-news/penjualan-turun-laba-ades-tetap-naik-123-persen-di-kuartal-i-2021,,
ADES,2022-04-26,Full-year confirmation,BUILD CANDIDATE,2021 sales +39%; net profit +96%; ROE 27%; low debt,consumer recovery + portfolio expansion + operating leverage + low leverage -> durable EPS,https://www.indopremier.com/ipotnews/newsDetail.php?group_news=RESEARCHNEWS&halaman=1&jdl=Financial_Statements_Full_Year_2021_of_ADES&name=&news_date=&news_id=396773&q=Financial+Statements&search=y_general&taging_subtype=RESULT,,
