candidate_id,global_q,factor_a,factor_a_name,factor_a_role,factor_a_data,factor_a_thesis,factor_b,factor_b_name,factor_b_role,factor_b_data,factor_b_thesis,evidence_level,stock_level_proof,live_decision_weight,capital_permission
RIO_Volatility::+1::ShortInterest::+1,0.0104447667850804,RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",ShortInterest,Short Interest,execution_or_flow,Trading,Short-interest from Compustat (shortint) scaled by shares outstanding (shrout). Short-interest data are available bi-weekly with a four day lag. We use the mid-month observation to make sure data would be available in real time.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AgeIPO::+1::Mom12mOffSeason::+1,0.0194733978477627,AgeIPO,IPO and age,information_flow_or_positioning,Event,Age is  (current year -  founding year from Jay Ritter's dataset). Exclude if IndIPO == 0.,Mom12mOffSeason,Momentum without the seasonal part,direction,Price,Average return in  other months over the previous year.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
IO_ShortInterest::+1::Price::-1,0.0207952123202873,IO_ShortInterest,Inst own among high short interest,execution_or_flow,13F,Exclude all stocks with short interest (ShortInterest) below 99th percentile. IO\_ShortInterest is institutional ownership (instown\_perc).  Keep NYSE Only.,Price,Price,cross_sectional_selection,Price,Log of absolute value of price (prc).,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
ChTax::+1::RIO_Volatility::+1,0.0210388126333395,ChTax,Change in Taxes,cross_sectional_selection,Accounting,"4-quarter change in quarterly total taxes (txtq), scaled by lagged total assets (at).",RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
RIO_Volatility::+1::ShareIss5Y::+1,0.021523901433212,RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",ShareIss5Y,Share issuance (5 year),cross_sectional_selection,Accounting,5-year growth in number of shares. Number of shares is calculated as shrout/cfacshr to adjust for splits.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
NOA::+1::XFIN::+1,0.0215600826664764,NOA,Net Operating Assets,cross_sectional_selection,Accounting,"Difference between operating assets and operating liabilities, scaled by lagged total assets. Operating assets are total assets (at) minus cash- and short-term investments (che), operating liabilities are total assets minus long-term debt (dltt), minority interest (mib), deferred charges (dc) and book equity (ceq).",XFIN,Net external financing,cross_sectional_selection,Accounting,Sale of common stock (sstk) minus dividends (dv) minus purchase of common stock (prstkc) plus long-term debt issuance (dltis) minus long-term debt reductions (dltr). Scaled by total assets (at).,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
REV6::+1::RIO_Volatility::+1,0.0216953967278061,REV6,Earnings forecast revisions,value_capture,Analyst,"Define revisions as the change in the mean earnings estimate (meanest) for the next quarter from month t-1 to t, scaled by stock price in month t-1. REV6 is the sum of that variable from months t-6 to t.",RIO_Volatility,Inst Own and Idio Vol,information_flow_or_positioning,13F,"Follow RIO\_MB, except define volatility as the rolling standard deviation of the last 12 months of the stock return.  Let RIO\_Disp = lagged RIO quintile if the Volatility quintile == 5",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
IO_ShortInterest::+1::zerotrade1M::+1,0.0221673857587961,IO_ShortInterest,Inst own among high short interest,execution_or_flow,13F,Exclude all stocks with short interest (ShortInterest) below 99th percentile. IO\_ShortInterest is institutional ownership (instown\_perc).  Keep NYSE Only.,zerotrade1M,Days with zero trades,execution_or_flow,Trading,"In each month, count the number of days with no trades. Define zerotrade as the number of days without trades plus (the sum of monthly turnover (vol/shrout) divided by 48*10$^5$), multiplied by 21/number of trading days per month. Take 1-month average.",HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AssetGrowth::+1::ShareIss5Y::+1,0.0226092133623841,AssetGrowth,Asset growth,value_capture,Accounting,Annual growth rate of total assets (at),ShareIss5Y,Share issuance (5 year),cross_sectional_selection,Accounting,5-year growth in number of shares. Number of shares is calculated as shrout/cfacshr to adjust for splits.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
AgeIPO::+1::ShareIss1Y::+1,0.0235510361355558,AgeIPO,IPO and age,information_flow_or_positioning,Event,Age is  (current year -  founding year from Jay Ritter's dataset). Exclude if IndIPO == 0.,ShareIss1Y,Share issuance (1 year),cross_sectional_selection,Accounting,Growth in number of shares between t-18 and t-6. Number of shares is calculated as shrout/cfacshr to adjust for splits.,HISTORICAL_PORTFOLIO_RESEARCH_CANDIDATE,False,0.0,BLOCKED
