Family,Scenario,Mechanism,Key data / trigger family
Macro,Disinflationary slowdown,Growth cools while inflation falls,"Growth, labor, credit, inflation"
Macro,Reacceleration,Leading growth and breadth recover,"BBK lead, WEI, breadth, credit"
Macro,Recession / credit crack,Labor and credit weaken together,"Sahm, claims, EBP, HY OAS"
Geopolitical,War continues / financing manageable,Conflict spending rises but financing remains absorbable,"Fiscal capacity, auctions, rates, energy"
Geopolitical,War + energy stagflation,Supply shock lifts inflation while growth weakens,"Oil, breakevens, rates, growth"
Geopolitical,Fiscal-forced de-escalation,Fiscal/rate constraints raise pressure to shrink conflict,"Debt headroom, deficit, interest burden, term premium"
Geopolitical,Diplomatic ceasefire / peace dividend,Risk premium and supply stress normalize,"Diplomacy feed, oil, freight, rates"
Geopolitical,Crisis-forced ceasefire,De-escalation occurs because fiscal/economic stress becomes binding,"Fiscal stress, credit, growth, political funding"
Fiscal,Debt-limit confrontation,Legal borrowing constraint becomes binding,"Debt subject to limit, X-date, extraordinary measures"
Fiscal,Treasury term-premium shock,Heavy issuance/fiscal concern lifts long-end compensation,"10Y, term premium, auction metrics"
Fiscal,Fiscal crowding-out,Government financing raises private borrowing costs,"Yields, term premium, housing/capex"
Credit,Private-credit stress,Opaque/illiquid credit losses transmit,"Private-credit data, HY, banks"
Credit,Bank / CRE stress,CRE losses and funding stress tighten lending,"CRE delinquencies, bank funding, SLOOS"
Liquidity,Dollar funding squeeze,Funding stress forces deleveraging,"Funding spreads, basis, FX swaps, NFCI"
Market,Broad ATH / healthy broadening,"Large, small and equal-weight confirm","SPY/IWM/RSP, breadth"
Market,Narrow ATH / concentration fragility,Headline index rises while participation deteriorates,"Breadth, concentration, earnings"
Market,ATH + credit divergence,Price strong while credit weakens,"ATH, EBP, HY OAS"
Market,Low-vol + leverage unwind,Calm conditions encourage leverage then amplify shock,"VIX, leverage, funding, liquidity"
Market,Correlation spike + falling liquidity,Diversification disappears while market depth falls,"Correlation, depth, funding"
Energy,Oil supply shock,Physical disruption transmits into inflation/growth,"Oil curve, shipping, shortages"
China,China stimulus / credit impulse,China demand impulse lifts global cyclicals,"TSF, credit impulse, PMI, property"
China,China property relapse,Property weakness drags credit/global demand,"Property sales, defaults, TSF"
Japan,BOJ / yen-carry unwind,Rates/FX force global deleveraging,"JGB, USDJPY, cross-asset vol"
Trade,Tariff / sanctions escalation,Trade barriers raise costs and weaken volumes,"Tariffs, trade, freight, prices"
Cyber,Critical financial infrastructure shock,Payments/clearing outage creates liquidity stress,"Event feed, funding, vol"
Technology,AI productivity boom,Productivity offsets wage/inflation pressure,"Productivity, capex, margins"
Technology,AI capex / debt unwind,Capex expectations and financing reverse,"Capex, credit, earnings revisions"
Policy,Fed too tight,Policy stays restrictive after economy weakens,"FCI-G, labor, inflation, rates"
Policy,Inflation-forced tightening,Inflation resurgence prevents easing,"PCE, breakevens, oil, wages"
