query,seed_root
"shortage capacity demand supply pricing backlog lead times",Supply bottleneck
"data center power grid transformer turbine cooling shortage",Electrical load
"AI optical photonics transceiver network bottleneck",Networking bandwidth
"shipping disruption chokepoint tanker sanctions oil war",War escalation
"commodity inventory shortage export ban weather supply",Physical commodity bottleneck
"token revenue buyback burn fees emission unlock adoption",Protocol usage
"privacy crypto usage adoption shielded supply scarcity",Private asset usage
"currency intervention disorderly moves finance ministry central bank",Policy intervention hazard
"consumer demand pricing power margin expansion distribution Indonesia",Consumer demand
"tariff subsidy appropriation contract industrial policy",Policy intervention
"cyber outage payment clearing infrastructure disruption",Cyber shock
"bank funding credit spread private credit stress",Credit/funding shock
"nuclear data center power agreement uranium turbine",Nuclear / SMR
"water cooling data center shortage permitting",Cooling demand
"copper grid cable transformer shortage electrification",Cables / conductors
