source,target,mechanism,sign,lag,role,validation,condition
AI adoption,Data-center capex,AI workloads require more compute capacity,+,0-4Q,DIRECT,CORE,Hyperscaler/enterprise AI demand
AI adoption,Data-center efficiency,Chip/software efficiency lowers energy per task,-,0-8Q,BUFFER,CORE,Efficiency gains materialize
AI adoption,Inference intensity,More deployed agents/models increase always-on inference,+,0-8Q,DIRECT,CORE,Usage expands beyond training
AI adoption,Network traffic,Distributed inference/training increases east-west bandwidth,+,0-8Q,DIRECT,CORE,Cluster/network architecture scales
Data-center capex,Accelerated compute,New clusters require GPUs/accelerators,+,0-4Q,DIRECT,CORE,Capex actually converts into equipment orders
Data-center capex,Servers / racks,Capacity build requires servers and rack systems,+,0-4Q,DIRECT,CORE,Projects funded and permitted
Data-center capex,Electrical load,New capacity raises firm electricity demand,+,0-8Q,DIRECT,CORE,Projects energize
Data-center capex,Construction / EPC,Facilities require civil/electrical/mechanical construction,+,0-8Q,DIRECT,CORE,Project pipeline proceeds
Data-center capex,Land / permitting,Site scarcity and approvals can become bottlenecks,+,0-12Q,DIRECT,CORE,Local opposition/grid limits
Data-center capex,Colocation / data-center REIT demand,Hyperscalers/enterprises lease scarce powered shells,+,0-8Q,DIRECT,CONDITIONAL,Lease economics remain attractive
Data-center efficiency,Electrical load,Efficiency reduces load per unit compute,-,0-8Q,BUFFER,CORE,Jevons/rebound does not dominate
Inference intensity,Data-center electricity load,Inference at scale raises persistent power demand,+,0-8Q,DIRECT,CORE,Efficiency gains do not fully offset
Inference intensity,Enterprise storage demand,Retrieval/logging/vector/data pipelines expand storage,+,0-8Q,SECOND,CONDITIONAL,Architectures remain storage intensive
Network traffic,Copper reach constraint,Higher speeds/rack density shorten practical copper reach,+,0-4Q,BOTTLENECK,CORE,SerDes power/reach limits bind
Accelerated compute,HBM / DRAM demand,Accelerators require high-bandwidth memory,+,0-2Q,DIRECT,CORE,Architecture remains memory-intensive
Accelerated compute,NAND / enterprise SSD demand,Training/inference raises storage and checkpoint demand,+,0-4Q,DIRECT,CORE,Storage intensity rises with workload
Accelerated compute,Networking bandwidth,Larger clusters require scale-up/scale-out fabrics,+,0-2Q,DIRECT,CORE,Cluster sizes/network traffic rise
Electrical load,Grid interconnection,Large loads require transmission/distribution connection,+,1-12Q,DIRECT,CORE,Grid-tied model
Electrical load,Power generation,Incremental load requires more generation capacity/dispatch,+,1-12Q,DIRECT,CORE,Grid cannot meet load via efficiency alone
Electrical load,On-site generation / backup,Reliability requirements support backup/on-site power,+,0-8Q,DIRECT,CORE,Grid reliability/interconnection delays
Electrical load,Cooling demand,High rack density raises heat-removal load,+,0-4Q,DIRECT,CORE,Power density rises
Electrical load,Wholesale power prices,Local scarcity can raise power prices,+,0-8Q,MACRO,CORE,Transmission/generation constrained
Electrical load,Utility load growth,Large new loads expand utility sales and rate-base needs,+,1-12Q,SECOND,CORE,Regulators allow investment recovery
Construction / EPC,Steel / concrete,Facility construction raises material demand,+,0-8Q,SECOND,CORE,Build intensity remains high
Land / permitting,Construction delays,Permitting/community constraints delay energization,+,0-12Q,LOSER,CORE,Approvals tighten
Copper reach constraint,CPO / photonics adoption,Optical integration moves closer to package/switch,+,1-12Q,DIRECT,CONDITIONAL,CPO economics/reliability mature
NAND / enterprise SSD demand,NAND pricing,Demand above available supply lifts pricing,+,0-2Q,DIRECT,CORE,Supply elasticity low
Networking bandwidth,Optical transceivers,Higher bandwidth/distance increases optical links,+,0-4Q,DIRECT,CORE,Copper reach/power limits bind
Grid interconnection,Transformers,Substations/data centers require power transformers,+,1-12Q,SECOND,CORE,Transformer lead times/capacity constrained
Grid interconnection,Switchgear,Power distribution requires switchgear/busway,+,0-8Q,SECOND,CORE,Projects proceed
Grid interconnection,Cables / conductors,Transmission/distribution build uses cable and conductors,+,1-12Q,SECOND,CORE,Copper/aluminum intensity stays high
