area,component,claimed_status,reproduced_status,implementation_status,validation_status,evidence,failing_test,blocker,next_action,completion_criteria
repo,baseline_inventory,complete,verified,complete,verified,commit 5e7b86f; docs/audit/baseline/,none,none,none,committed+reproducible
repo,architecture_map,complete,verified,complete,verified,commit 55f74d6; ARCHITECTURE_MAP.md; import_graph.json,none,none,none,committed+reproducible
repo,phase2_cleanup_reorg,implemented,staged_uncommitted,complete,unverified,git index: 763 renames + 238 deletes; cleanup_plan.json,none,none,add .gitignore; commit; rerun tests,committed; tests stable vs baseline
repo,gitignore,missing,confirmed_missing,not_started,unverified,BASELINE_INVENTORY.md,none,none,write .gitignore; commit,no pycache/generated tracked
tests,v3_kernel_pytest,119_passed_5_failed,124_passed_0_failed,complete,verified,commit 7925c41; streamlit_app.py created; manifest regenerated,none,none,none,124/124
tests,hardening_scripts,12_exit_0,12_of_12_exit_0_clean,complete,verified,commit 9ca1a8e; v52 39/39 genuine,none,none,none,exit 0 AND clean stdout
app,offline_desk_build,pass,reproduced_at_baseline,complete,verified,TEST_RESULTS.md; ~1s build; no synthetic admitted,none,none,re-run post-cleanup,still passes post-cleanup
app,streamlit_full_smoke,untested,verified,complete,verified,AppTest app.py boot: no exception; snapshot regenerated offline,none,none,none,app boots; dashboard renders
data,data_layer_v101_offline,pass,reproduced_at_baseline,complete,verified,TEST_RESULTS.md,none,none,none,passes post-cleanup
data,live_collectors,untested,verified_live_2026-07-29,implemented,VERIFIED,"R9.0: 258 quotes, CFTC positioning, 36 fundamentals, policy rates; R9_ACCEPTANCE.md",none,yahoo 429 possible (degrades honest),none,scheduled daily via supervisor
data,fred_current_vintage,flagged_not_pit,confirmed,implemented,verified,ARCHITECTURE_MAP.md sec5; run.py flags point_in_time_eligible=False,none,none,phase 4: lineage report documents this,documented
lineage,data_lineage_report,not_started,verified,complete,verified,docs/audit/DATA_LINEAGE_REPORT.md committed 47aa2c6,none,none,none,report covers all production sources
claims,cusp_fragility_v73,engineering_pass,9_of_9_checks_pass,implemented,REJECTED,V73 verdict NOT_PROVEN; gates failed; placebo controls honored; docs/audit/CLAIM_EVIDENCE_AUDIT.md item 4,none,none,none - terminal negative,terminal label assigned
claims,carry_trade_engine_v101,implemented,code_self_labels_NOT_PROVEN,implemented,PROSPECTIVE_EVIDENCE_PENDING,carry_trade_engine_v101.py proof_state NOT_PROVEN; CLAIM_EVIDENCE_AUDIT.md item 8,none,none,paper-trade shadow path only,terminal label assigned
claims,crash_meter,unverified,registry_REJECTED,unknown,REJECTED,research_evidence_registry_v53 crash_meter_inclusion=REJECTED; audit item 4,none,none,none - terminal negative,terminal label assigned
claims,quad_transition,unverified,descriptive_only,unknown,PROSPECTIVE_EVIDENCE_PENDING,CLAIM_EVIDENCE_AUDIT.md item 9; no validation study,none,none,frozen protocol study or stay descriptive,terminal label assigned
claims,chain_reaction_engine,unverified,descriptive_only,unknown,PROSPECTIVE_EVIDENCE_PENDING,CLAIM_EVIDENCE_AUDIT.md item 9,none,none,frozen protocol study or stay descriptive,terminal label assigned
claims,bottleneck_engine,unverified,descriptive_only,unknown,PROSPECTIVE_EVIDENCE_PENDING,CLAIM_EVIDENCE_AUDIT.md item 9,none,none,frozen protocol study or stay descriptive,terminal label assigned
claims,alpha_center,implemented,descriptive_only,implemented,PROSPECTIVE_EVIDENCE_PENDING,action_engine_v101 UNPROVEN_CURRENT_RESEARCH_BRIDGE; audit item 9,none,none,frozen protocol study or stay descriptive,terminal label assigned
claims,timing_edge,unverified,descriptive_only,unknown,PROSPECTIVE_EVIDENCE_PENDING,CLAIM_EVIDENCE_AUDIT.md item 9,none,none,frozen protocol study or stay descriptive,terminal label assigned
claims,research_v64_three_survivors,proven_claimed,ledger_verified,implemented,RECONSTRUCTED_HISTORICAL_EVIDENCE,"V64_PROVEN_CLAIM_LEDGER.csv: gross only, 25bp fail, capital BLOCKED; audit item 2",none,none,none - terminal label,terminal label assigned
claims,research_v66_tsmom_crisis,candidate_claimed,survivor_count_0,implemented,REJECTED,V66_LONG_HISTORY survivor_count=0; V78 NOT_PROMOTED; audit items 5-6,none,none,none - terminal negative,terminal label assigned
claims,research_v78_pit_proof,protocol_frozen,NOT_PROMOTED,implemented,REJECTED,V78 results status NOT_PROMOTED; audit item 6,none,none,none - terminal negative,terminal label assigned
papertrading,shadow_ledger_code,implemented,verified,implemented,verified,tests/test_shadow_paper_trading.py 10/10; docs/audit/PAPER_TRADING.md,none,none,none,schema test passes
papertrading,runtime_ledger,active,verified_live,implemented,ACCUMULATING,"R9.0: 12 FORECAST+12 ORDER+12 FILL; verify valid; R9_ACCEPTANCE.md",none,none,daily supervisor accumulates; outcomes mature ~2026-10-27,append-only ledger exists with verify
papertrading,outcome_recorder,implemented,verified,implemented,VERIFIED,"R9.1: 10 tests; live dry-run 12 pending unmatured",none,none,runs daily via supervisor; matures at horizon,outcomes appended honestly at maturity
papertrading,trial_counter,implemented,verified,implemented,VERIFIED,"R9.2: both chains verify; V101_FIXED_ACTION_POLICY registered; runner refuses unregistered",none,historical search unrecoverable (V84),prospective registration for every new trial,registration is precondition of evaluation
