dataset_id,domain,geography,requirement,primary_source,secondary_source,priority,pit_required,freshness_target,current_status,local_path,required_for,notes,self_run_status
LEGACY_SP500_PANEL,LEGACY_REPRO,US,Historical SP500 panel bundled from old repo,LEGACY_BUNDLE,SEC/market source refresh,P0,YES,FROZEN,IN_BUNDLE,warroom_os/research/sp500_panel.parquet,Legacy reproduction/ticker research,Do not treat as current production truth until lineage/audit passes.,IN_BUNDLE_UNREADABLE_PARQUET_RUNTIME
LEGACY_MACRO_PANEL,LEGACY_REPRO,US,Historical macro panel bundled from old repo,LEGACY_BUNDLE,FRED/ALFRED,P0,YES,FROZEN,IN_BUNDLE,warroom_os/research/macro_panel.parquet,Legacy reproduction,Rebuild with ALFRED for PIT-sensitive claims.,IN_BUNDLE_UNREADABLE_PARQUET_RUNTIME
LEGACY_SHILLER,LEGACY_REPRO,US,Shiller monthly history,LEGACY_BUNDLE,Yale/Shiller primary publication,P0,PARTIAL,FROZEN,IN_BUNDLE,warroom_os/research/shiller.csv,Crash seed/valuation,Already used in Stage-1 reproduction; not enough for final model alone.,FACTUAL_READY_SCOPE_LIMITED
LEGACY_VIX,LEGACY_REPRO,US,Historical VIX CSV,LEGACY_BUNDLE,US_CBOE,P0,CHECK,FROZEN,IN_BUNDLE,warroom_os/research/vix.csv,Legacy reproduction,Refresh official CBOE history.,FACTUAL_READY_SCOPE_LIMITED
US_GROWTH,Growth,US,Growth,US_FRED/US_BEA,GLOBAL_BIS,P0,YES,MONTHLY/QUARTERLY,AUTO_FETCH,data/factual/macrodata.csv,Growth engine + crash, | Statsmodels US macrodata historical snapshot; not current/PIT-vintage complete,FACTUAL_SNAPSHOT_SCOPE_LIMITED
US_LABOR,Labor,US,Labor,US_BLS/US_FRED,GLOBAL_BIS,P0,YES,WEEKLY/MONTHLY,AUTO_FETCH,data/factual/macrodata.csv,Labor + crash/recovery, | Unemployment historical snapshot available; claims/JOLTS/payroll full PIT not included,FACTUAL_SNAPSHOT_SCOPE_LIMITED
US_INFLATION,Inflation,US,Inflation,US_BLS/US_BEA/US_FRED,GLOBAL_BIS,P0,YES,MONTHLY/QUARTERLY,AUTO_FETCH,data/factual/macrodata.csv,Inflation + policy + crash, | CPI/inflation historical snapshot available; full release-vintage panel not included,FACTUAL_SNAPSHOT_SCOPE_LIMITED
US_POLICY,Fed policy/OIS,US,Fed policy/OIS,US_FRED,GLOBAL_BIS,P0,YES,DAILY/MEETING,AUTO_FETCH,data/factual/macrodata.csv,Policy engine, | T-bill/real-rate historical proxy; not Fed decision/OIS PIT panel,FACTUAL_SNAPSHOT_SCOPE_LIMITED
US_RATES_CURVE,Treasury nominal/real curve + term premium,US,Treasury nominal/real curve + term premium,US_FRED/US_NYFED,GLOBAL_BIS,P0,YES,DAILY,AUTO_FETCH,data/factual/macrodata.csv,Rates + crash + valuation, | Short-rate proxy only plus Shiller long rate; full curve/term-premium PIT missing,FACTUAL_SNAPSHOT_SCOPE_LIMITED
US_CREDIT,IG/HY spreads + lending standards + defaults/delinquency,US,IG/HY spreads + lending standards + defaults/delinquency,US_FRED/US_FED_SLOOS/US_NYFED,GLOBAL_BIS,P0,YES,DAILY/QUARTERLY,AUTO_FETCH,,Credit + crash,,DATA_DEBT_NOT_INGESTED
US_FUNDING,SOFR/EFFR/repo/reserves/RRP/TGA/collateral proxies,US,SOFR/EFFR/repo/reserves/RRP/TGA/collateral proxies,US_FRED/US_TREASURY_FISCALDATA,GLOBAL_BIS,P0,YES,DAILY/WEEKLY,AUTO_FETCH,,Funding/liquidity/crash,,DATA_DEBT_NOT_INGESTED
US_LIQUIDITY,CB assets/reserves/money/private credit/fiscal liquidity,US,CB assets/reserves/money/private credit/fiscal liquidity,US_FRED/US_TREASURY_FISCALDATA,GLOBAL_BIS,P0,YES,DAILY/WEEKLY/MONTHLY,AUTO_FETCH,,Liquidity engine,,DATA_DEBT_NOT_INGESTED
US_FISCAL,Deficit/debt/interest burden/issuance/auction absorption,US,Deficit/debt/interest burden/issuance/auction absorption,US_TREASURY_FISCALDATA/US_TREASURY_AUCTIONS,GLOBAL_BIS,P0,YES,DAILY/MONTHLY,AUTO_FETCH,,Fiscal/rates/gold,,DATA_DEBT_NOT_INGESTED
US_HOUSEHOLD,Household debt/delinquency/income/savings,US,Household debt/delinquency/income/savings,US_NYFED/US_BEA/US_FRED,GLOBAL_BIS,P1,YES,QUARTERLY/MONTHLY,AUTO_FETCH,,Household stress,,DATA_DEBT_NOT_INGESTED
US_CORPORATE_AGG,Corporate profits/margins/cashflow/refinancing,US,Corporate profits/margins/cashflow/refinancing,US_BEA/US_FRED,GLOBAL_BIS,P1,YES,QUARTERLY,AUTO_FETCH,,Corporate stress,,DATA_DEBT_NOT_INGESTED
US_MARKET_IMPLIED,VIX/VVIX/SKEW/MOVE/options-implied,US,VIX/VVIX/SKEW/MOVE/options-implied,US_CBOE/US_FRED,GLOBAL_BIS,P1,YES,DAILY,AUTO_FETCH,,Market-implied stress/pricing,,DATA_DEBT_NOT_INGESTED
US_POSITIONING,COT/FINRA/ownership/flows,US,COT/FINRA/ownership/flows,US_CFTC/US_FINRA/US_SEC,GLOBAL_BIS,P1,YES,DAILY/WEEKLY/QUARTERLY,AUTO_FETCH,,Positioning/capital formation,,DATA_DEBT_NOT_INGESTED
US_COMPANY_FACTS,CORPORATE_PIT,US,Company fundamentals + filing acceptance timestamps,US_SEC,,P0,YES,REALTIME/DAILY,AUTO_FETCH,data/factual/grunfeld.csv,Company/ticker thesis,Use SEC companyfacts/submissions bulk; filing acceptance is available_at. | Historical firm fundamentals methodology dataset; not modern SEC PIT companyfacts,FACTUAL_SNAPSHOT_SCOPE_LIMITED
GLOBAL_MARKET_PRICES,OUTCOME_EXECUTION,GLOBAL,"Historical/current prices for outcome, valuation, liquidity and execution only",EXCHANGE_OFFICIAL,yfinance/Stooq as secondary,P0,YES,DAILY/INTRADAY,AUTO_FETCH,data/factual/shiller.csv,Backtests/outcome labels/execution,Price is not directional alpha. | US equity outcome plus copper price snapshot; not full global outcome panel,FACTUAL_SNAPSHOT_SCOPE_LIMITED
