candidate_id,family,name,thesis,primary_role,market_scope,data_required,source_class,source_signal_class,mapping_status,discovery_status,validation_status,lockbox_status,prospective_status,live_decision_weight,capital_permission,claim_ceiling,notes
OAP_PREDICTOR_ABNORMALACCRUALS,open_source_cross_sectional_asset_pricing,Abnormal Accruals,"Define Accruals as net income (ib) minus operating cash flow (oancf), divided by average total assets (at) for years t-1 and t. If oancf is missing, replace operating cash flow with funds from operations (fopt) minus the annual change in total current assets (act) plus the annual change in cash and short-term investments (che) plus the annual change in current liabilities (lct) minus the annual change in debt in current liabilities (dlc). For each year t and 2-digit sic code, regress Accruals on: the inverse of average total assets for year t-1, the change in revenue (sale) from year t-1 to t divided by total assets for t-1, propery plant and equipment (ppegt) divided by total assets for t-1.  AbnormalAccrual is the residual from this cross-sectional regression.  See code for more details.",value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,OP is aggressive and lags accounting data by only 3 months (p361) instead of the usual 6.  This likely accounts for our relative underperformance.
OAP_PREDICTOR_ACCRUALS,open_source_cross_sectional_asset_pricing,Accruals,Annual change in current total assets (act) minus annual change in cash and short-term investements (che) minus annual change in current liabilities (lct) minus annual change in debt in current liabilities (dlc) minus change in income taxes (txp). All divided by average total assets (at) over this year and last year. Exclude if abs(prc) < 5.,value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,Table 6 year t+1 hedge.  Only size adjusted and CAPM adjusted.
OAP_PREDICTOR_ACCRUALSBM,open_source_cross_sectional_asset_pricing,Book-to-market and accruals,"Binary variable equal to 1 if stock is in the highest Accrual quintile and the lowest BM quintile, and equal to 0 if stock is in the lowest Accrual quintile and the highest BM quintile. Exclude if book equity (ceq) is negative.",value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,
OAP_PREDICTOR_ACTIVISM1,open_source_cross_sectional_asset_pricing,Takeover vulnerability,"24 minus Governance Index (G). Set to missing if G is missing, or if not in the highest quartile of institutional ownership (maxinstown\_perc), or if dual share class.",information_flow_or_positioning,US_equities_cross_section,13F,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,works a bit better EW in Tab 3
OAP_PREDICTOR_AM,open_source_cross_sectional_asset_pricing,Total assets to market,Total assets (at) divided by market value of equity.,value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,
OAP_PREDICTOR_ANALYSTREVISION,open_source_cross_sectional_asset_pricing,EPS forecast revision,"keep fpi == ""1"", last obs each month.  Signal is meanest / last month's meanest.",value_capture,US_equities_cross_section,Analyst,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,OP only longs top 20 stocks according to signal.  We were more flexible.  Sample is very short but the results seem robust.
OAP_PREDICTOR_ANNOUNCEMENTRETURN,open_source_cross_sectional_asset_pricing,Earnings announcement return,Get announcement date for quarterly earnings from IBES (fpi = 6). AnnouncementReturn is the sum of (ret - mktrf + rf) from one day before an earnings announcement to 2 days after the announcement.,value_capture,US_equities_cross_section,Price,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,Table 4 has port sort but no t-stats.  Tab 7 has huge t-stats in regressions
OAP_PREDICTOR_ASSETGROWTH,open_source_cross_sectional_asset_pricing,Asset growth,Annual growth rate of total assets (at),value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,"Also works VW (t=5, Tab2.B.2)"
OAP_PREDICTOR_BETALIQUIDITYPS,open_source_cross_sectional_asset_pricing,Pastor-Stambaugh liquidity beta,"Monthly excess return (ret -rf) regressed on innovations in liquidity from Pastor's website (\url{https://faculty.chicagobooth.edu/lubos.pastor/research/liq_data_1962_2018.txt}). Use 60 month rolling window regression, and require at least 36 non-missing observations.",execution_or_flow,US_equities_cross_section,Price,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,
OAP_PREDICTOR_BETATAILRISK,open_source_cross_sectional_asset_pricing,Tail risk beta,"Each month, compute the 5th percentile over daily returns over all firms. For all daily return observations with return below that 5th percentile, compute the average of (log(ret/5th percentile of cross-sectional return distribution). Call that average tailEX. BetaTailRisk is the coefficient of a 120-month rolling regression of a firm's stock return on tailEX. Exclude if price less than 5 or share code greater than 11.",vulnerability_or_range,US_equities_cross_section,Price,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,Also works VW or monthly
OAP_PREDICTOR_BETAVIX,open_source_cross_sectional_asset_pricing,Systematic volatility,Coefficient on daily change in the VIX of a 1-month rolling window regression of daily stock excess returns on market return and the daily change in the CBOE S&P 100 volatility index (downloaded from FRED). Require at least 15 non-missing observations.,vulnerability_or_range,US_equities_cross_section,Price,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,Tab I has port sorts
OAP_PREDICTOR_BM,open_source_cross_sectional_asset_pricing,"Book to market, original (Stattman 1980)",Log of tangible book equity (ceqt) over market equity matched at FYE,value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,"OP actually forms portfolios at the end of March based on December FYE data and drops stocks with non-Dec FYE.  But for consistency with FF1992, we use June as the port form month (the irony is noted).  OP also drops certain SIC codes, which we should implement at the portfolio stage, in time.  We previously were citing Rosenberg, Reid, Lanstein 1985, but Stattman 1980 should get more credit.  RRL does not describe its methods in much detail too."
OAP_PREDICTOR_BMDEC,open_source_cross_sectional_asset_pricing,Book to market using December ME,BM using most recent December value of market equity.,value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,
OAP_PREDICTOR_BOOKLEVERAGE,open_source_cross_sectional_asset_pricing,Book leverage (annual),"Total assets (at) divided by book value of equity plus deferred taxes (txditc) and preferred stock. Equity is shareholder equity (seq) if available, or book equity (ceq) plus preferred stock (pstk, if missing pstkrv, if missing pstkl), or total assets minus total liabilities (lt).",cross_sectional_selection,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,
OAP_PREDICTOR_BPEBM,open_source_cross_sectional_asset_pricing,Leverage component of BM,"BP - EBM, where BP = (ceq + tstkp - dvpa)/(shrout*abs(prc)), and EBM is defined above. Exclude if price less than 5.",cross_sectional_selection,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,B/P-NOA/P^NOA in OP.  Table 1D shows strong port sort.  Tab3A shows t-stat = 4.1 in uni reg. OP drops extreme obs but we don't.
OAP_PREDICTOR_CASH,open_source_cross_sectional_asset_pricing,Cash to assets,Ratio of quarterly cash and short-term investments (cheq) and total assets (atq).,cross_sectional_selection,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,"Table 4 has long-short returns with t-stat of 2.14 for raw EW. Much stronger after factor adjustments. Other tables show double sorts, alphas, Table 4, Panel A, column DeltaCH"
OAP_PREDICTOR_CASHPROD,open_source_cross_sectional_asset_pricing,Cash Productivity,Calculate market value of equity (mve_c) as absolute price (prc) times number of shares outstanding (shrout). Cash productivity is equal to the difference between mve_c and total assets (at) divided by cash and short-term investments (che).,value_capture,US_equities_cross_section,Accounting,OpenSourceAP_SignalDoc_official,PREDICTOR,COMPLETE,IMPORTED_NOT_RETESTED,NOT_STARTED,NOT_OPENED,NOT_STARTED,0.0,BLOCKED,Imported definition; original published evidence is not War Room proof.,Stats are from WP version.
