metric_id,family,metric_name,geography,source_id,source_series_or_dataset,frequency,candidate_roles,notes,data_origin,scientific_status,tests_completed,tests_pending
US_INDPRO,GROWTH,Industrial Production,US,US_FRED,INDPRO,M,STATE|CRASH_WARNING|RECOVERY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_RETAIL,GROWTH,Retail and Food Services Sales,US,US_FRED,RSAFS,M,STATE|DEMAND,Nominal; pair with real series/deflator.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_REAL_RETAIL,GROWTH,Real Retail and Food Services Sales,US,US_FRED,RRSFS,M,STATE|DEMAND,Verify current series availability.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_PAYEMS,LABOR,Nonfarm Payrolls,US,US_FRED/US_BLS,PAYEMS,M,STATE|CONFIRMATION|RECOVERY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_UNRATE,LABOR,Unemployment Rate,US,US_FRED/US_BLS,UNRATE,M,STATE|CONFIRMATION|SEVERITY|RECOVERY,Do not assume leading.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_ICSA,LABOR,Initial Jobless Claims,US,US_FRED/US_BLS,ICSA,W,EARLY_WARNING|LABOR_STATE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_CCSA,LABOR,Continuing Claims,US,US_FRED/US_BLS,CCSA,W,LABOR_STATE|CONFIRMATION,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_JOLTS_OPEN,LABOR,Job Openings,US,US_FRED/US_BLS,JTSJOL,M,LABOR_STATE|DEMAND,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_JOLTS_HIRES,LABOR,Hires,US,US_FRED/US_BLS,JTSHIL,M,LABOR_STATE,Verify series label.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_JOLTS_QUITS,LABOR,Quits,US,US_FRED/US_BLS,JTSQUR,M,LABOR_STATE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_CPI,INFLATION,Headline CPI,US,US_FRED/US_BLS,CPIAUCSL,M,INFLATION_STATE|POLICY_CONSTRAINT|CRASH_CONDITIONAL,,FACTUAL_LOCAL_LEGACY_SOURCE,HISTORICALLY_TESTED_US_ONLY,inflation_yoy|inflation_accel_6m|inflation_abs,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_CORE_CPI,INFLATION,Core CPI,US,US_FRED/US_BLS,CPILFESL,M,INFLATION_STATE|POLICY_CONSTRAINT,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_PCEPI,INFLATION,PCE Price Index,US,US_FRED/US_BEA,PCEPI,M,INFLATION_STATE|POLICY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_CORE_PCE,INFLATION,Core PCE Price Index,US,US_FRED/US_BEA,PCEPILFE,M,INFLATION_STATE|POLICY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_PPI,INFLATION,Producer Price Index,US,US_FRED/US_BLS,PPIACO,M,INFLATION_PIPELINE|MARGIN,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_WAGES,INFLATION,Average Hourly Earnings,US,US_FRED/US_BLS,AHETPI,M,WAGE_INFLATION|CONSUMER,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_FEDFUNDS,POLICY,Effective/target-policy context,US,US_FRED,FEDFUNDS|DFF,D/M,POLICY_STATE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_SOFR,FUNDING,SOFR,US,US_FRED,SOFR,D,FUNDING_STATE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_EFFR,FUNDING,Effective Federal Funds Rate,US,US_FRED,EFFR,D,FUNDING_STATE|POLICY,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS1MO,RATES,1M Treasury,US,US_FRED,DGS1MO,D,CURVE|POLICY_EXPECTATIONS,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS3MO,RATES,3M Treasury,US,US_FRED,DGS3MO,D,CURVE|POLICY_EXPECTATIONS,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS6MO,RATES,6M Treasury,US,US_FRED,DGS6MO,D,CURVE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS1,RATES,1Y Treasury,US,US_FRED,DGS1,D,CURVE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS2,RATES,2Y Treasury,US,US_FRED,DGS2,D,CURVE|POLICY_EXPECTATIONS,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS5,RATES,5Y Treasury,US,US_FRED,DGS5,D,CURVE,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS10,RATES,10Y Treasury,US,US_FRED,DGS10,D,CURVE|DURATION|VALUATION,,FACTUAL_LOCAL_LEGACY_SOURCE,HISTORICALLY_TESTED_US_ONLY,rate10_level|rate10_chg_6m|rate10_chg_12m,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS20,RATES,20Y Treasury,US,US_FRED,DGS20,D,CURVE|TERM_PREMIUM,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_DGS30,RATES,30Y Treasury,US,US_FRED,DGS30,D,CURVE|TERM_PREMIUM,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_REAL5,RATES,5Y TIPS real yield,US,US_FRED,DFII5,D,REAL_YIELD|ASSET_TRANSMISSION,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_REAL10,RATES,10Y TIPS real yield,US,US_FRED,DFII10,D,REAL_YIELD|ASSET_TRANSMISSION,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_REAL30,RATES,30Y TIPS real yield,US,US_FRED,DFII30,D,REAL_YIELD|ASSET_TRANSMISSION,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_BE5,INFLATION,5Y Breakeven Inflation,US,US_FRED,T5YIE,D,INFLATION_EXPECTATIONS|RATES,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_BE10,INFLATION,10Y Breakeven Inflation,US,US_FRED,T10YIE,D,INFLATION_EXPECTATIONS|RATES,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_3M10Y,RATES,10Y minus 3M Treasury spread,US,US_FRED,T10Y3M,D,CURVE|FRAGILITY,Test inversion vs resteepening separately.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_2Y10Y,RATES,10Y minus 2Y Treasury spread,US,US_FRED,T10Y2Y,D,CURVE|FRAGILITY,Not universal crash timer.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_HYOAS,CREDIT,US High Yield OAS,US,US_FRED,BAMLH0A0HYM2,D,CREDIT_STATE|CRASH_TRIGGER|SEVERITY,Test level/velocity/acceleration.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_IGOAS,CREDIT,US Investment Grade OAS,US,US_FRED,BAMLC0A0CM,D,CREDIT_STATE,Verify ICE BofA series metadata.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_WALCL,LIQUIDITY,Federal Reserve Total Assets,US,US_FRED,WALCL,W,CB_LIQUIDITY|CONTEXT,Never standalone net-liquidity truth.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_RRP,LIQUIDITY,Overnight Reverse Repo,US,US_FRED,RRPONTSYD,D,LIQUIDITY_PLUMBING,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_TGA,LIQUIDITY,Treasury General Account,US,US_FRED/US_TREASURY_FISCALDATA,WTREGEN,W,FISCAL_LIQUIDITY,Use higher-frequency official Treasury data if available.,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
US_RESERVES,LIQUIDITY,Reserve Balances with Federal Reserve Banks,US,US_FRED,WRESBAL,W,BANK_LIQUIDITY|FUNDING,,SOURCE_MAPPED,UNTESTED,,PIT|ROLE_ROUTING|WF_OOS|ROBUSTNESS
