id,engine,family,placement,actor,constraint,transmission,horizon,confirmation,contradiction,pricing,decision_improved
1,Growth,Broad activity / growth factor,Macro state,Households & firms,Income/demand/capacity utilization,"Activity changes alter revenues, labor demand and policy expectations",1-4Q,Broad activity confirms direction,Credit/earnings fail to follow,Growth expectations may already be priced,Regime / scenario prior
2,Growth,New orders / business-cycle impulse,Macro state,Firms / purchasing managers,Future production commitments,"Orders lead production, inventory and hiring",1-3Q,Orders diffuse into production/shipments,Orders rise but production/backlog do not,Forward growth may be discounted,Turning-point detection
3,Growth,Labor deterioration,Macro state,Employers / workers,Hiring/firing and household income,"Claims/unemployment transmit to income, consumption and recession risk",1-4Q,Claims and unemployment deterioration persist,Claims spike reverses without broader weakness,Some labor weakness may be expected,Downturn confirmation
4,Growth,Housing + consumption state,Macro state,Households / lenders / builders,"Rates, affordability and disposable income",Housing/consumption transmit monetary conditions to real demand,1-6Q,Permits/sales/real consumption align,Rates move but activity does not,Housing sensitivity can be priced early,Domestic demand state
5,Inflation,Short-run core inflation impulse,Inflation state,Firms / households,Pricing power and service/goods costs,Short-run inflation changes policy path and real incomes,1-6M,3m/6m inflation impulse persists,One-off base effects reverse,Front-end rates may already price it,Inflation transition
6,Inflation,Wage / services pressure,Inflation state,Employers / workers / service firms,Labor scarcity and wage-setting,Wages transmit into service costs/margins/prices,1-4Q,Wages and service inflation co-move,Productivity offsets wage pressure,Persistent inflation may be priced,Persistence diagnosis
7,Inflation,Inflation expectations,Market-implied state,Bond investors / households,Expected purchasing power and policy credibility,"Expectations affect real yields, wage/price setting and discount rates",Days-2Y,Breakevens/surveys move coherently,Nominal yields move without expectations,Implied expectations are themselves prices,Expectation state
8,Macro,Macro surprise,Event repricing,Data releasers / investors,Expectation error at release,Actual-minus-pre-release consensus forces rapid repricing,Minutes-days,Rates/FX/credit react in predicted channel,Market ignores/reverses surprise,Consensus may already embed information,Event catalyst
9,Policy,Expected policy path + policy surprise,Policy state,Central banks / rates market,Reaction function and forward rates,"Expected path changes discount rates, FX and financial conditions",Days-18M,OIS/front-end reprices with macro evidence,Policy pricing diverges from data,Policy path is market-implied,Policy transmission
10,Rates,Front-end rate state,Discount rate,Central bank / money markets,Policy horizon financing cost,Front-end rates transmit to funding and valuation,Days-2Y,2Y/OIS confirms policy repricing,Long end moves without front-end,Often heavily priced,Discount-rate state
11,Rates,Real-yield state,Discount rate,Bond investors / savers,Real required return,"Real yields affect duration, currency and capital allocation",Days-2Y,Real yields move with policy/growth/inflation mix,Assets decouple persistently,Asset sensitivity varies by regime,Cross-asset discount rate
12,Rates,Yield-curve shape / decomposition,Cycle state,Rates market,Expected policy path vs term compensation,Curve shape captures cycle/policy expectations,6-24M,Curve evolution aligns with growth/credit,Steepening source contradicts assumed mechanism,Inversion alone not timing,Cycle / scenario condition
13,Rates,Term premium,Long-end pressure,Treasury investors / dealers,Duration supply and uncertainty,Term premium raises long-end hurdle independent of expected policy,Days-2Y,Long yields rise without equivalent growth/inflation repricing,Front-end explains move instead,May be priced in duration assets,Fiscal/rates bottleneck
14,Rates,Rates volatility,Stress / sizing,Rates option market / dealers,Uncertain discount rate and collateral values,"Rates volatility affects leverage, hedging and market depth",Days-6M,MOVE/realized rates vol and liquidity deteriorate,Vol rises but funding remains normal,Vol premium can be event-driven,Risk conditioning
15,Fiscal,Fiscal / Treasury supply pressure,Long-end / sovereign,Government / Treasury / dealers,Deficit financing and duration supply,"Issuance affects term premium, dealer balance sheet and real yields",1M-5Y,Auctions/term premium/dealer stress confirm,Supply rises with no price impact,Supply expectations can be pre-priced,Fiscal transmission
16,Credit,Excess Bond Premium,Credit risk-bearing,Corporate bond investors / intermediaries,Risk appetite beyond expected default loss,EBP transmits intermediary risk-bearing to credit supply and growth,1-12M,EBP and lending/financial conditions deteriorate,EBP rises without credit/growth follow-through,Can front-run equity stress,Credit state
17,Credit,HY credit state + velocity,Stress transition,Leveraged issuers / credit investors,Refinancing and default risk,Spread velocity tightens financing and signals risk aversion,Days-12M,Spreads widen and funding/earnings weaken,Spread move quickly mean-reverts,Level may already reflect stress,Crash / risk modifier
18,Credit,Bank lending standards,Credit supply,Banks / borrowers,Underwriting and balance-sheet constraints,Tighter standards reduce credit creation and investment/consumption,1-6Q,Loan growth and activity weaken later,Standards tighten but credit demand offsets,Quarterly slow-moving,Medium-horizon credit cycle
19,Credit,Broad financial conditions,Transmission,Markets / banks / borrowers,Composite cost/availability of finance,"Conditions summarize rates, spreads, FX and risk assets into growth impulse",1-6Q,Growth responds in expected lag,Components offset / index unstable,Composite may double-count inputs,Scenario modifier
20,Fragility,Private-sector balance-sheet vulnerability,Fragility,Corporates / households,"Debt service, maturities, cash flow",High refinancing burden magnifies shocks,3M-3Y,Coverage/maturities/delinquencies worsen under rates stress,Strong cash flow absorbs shock,Vulnerability is not timing,Severity / fragility
21,Funding,Repo / money-market funding,Funding stress,Dealers / levered funds / banks,Collateral and short-term funding,Repo dislocation can force deleveraging,Intraday-3M,SOFR/repo spreads and collateral stress confirm,Asset vol rises with funding normal,Usually latent until shock,Acute trigger
22,Funding,Cross-currency dollar funding,Funding stress,Global banks / FX swap users,Dollar balance-sheet capacity,Basis widening signals scarcity of dollar funding,Days-6M,"Basis, USD and credit stress co-move",Basis moves for hedging demand only,Structural basis may persist,Global contagion
23,Funding,Reserve / central-bank plumbing,Liquidity plumbing,Central bank / Treasury / banks / MMFs,Reserve supply and liability composition,Plumbing changes marginal liquidity/funding conditions,Days-6M,Repo/reserve-demand indicators respond,Balance-sheet identity moves without transmission,No universal risk-asset mapping,Diagnostic only
24,Funding,Treasury liquidity / dealer capacity,Market functioning,Dealers / Treasury investors,Balance-sheet capacity and market depth,Poor depth raises price impact and collateral volatility,Intraday-6M,Bid-ask/depth/fails/vol deteriorate,Yield move with normal liquidity,Can be episodic,Acute stress / severity
25,Fragility,Systemic / NBFI leverage,Fragility,Hedge funds / basis traders / shadow banks,Leverage and margin constraints,High leverage amplifies shocks through forced sales,1M-2Y,Margins/funding/position cuts confirm,Leverage high but funding abundant,Fragility not trigger,Severity / contagion
26,Stress,Cross-asset correlation / liquidation,Liquidation,Levered investors / risk managers,Cash demand and risk limits,Correlations converge during forced liquidation,Days-1M,Normally diversifying assets sell together,Correlation rise from common macro news only,Observed after stress begins,Liquidation confirmation
27,Volatility,Volatility term structure / vol-of-vol,Conditioning state,Options market / dealers,Demand for near-term insurance,Term structure and vol-of-vol condition macro transmission and execution,Days-3M,Near-term vol/skew dislocate with event/stress,Vol state normalizes without macro change,Not directional oracle,Conditioning / execution
28,Stress,Realized stress / deleveraging,Liquidation,Portfolio managers / risk systems,"Vol-targeting, margin, VaR limits",Realized losses/vol force mechanical de-risking,Days-1M,Volume/liquidity/correlation confirm,Price move absorbed without deleveraging,Price is outcome/execution only,Acute severity
29,Positioning,Crowding / positioning,Asymmetry,Funds / CTAs / speculators,Position concentration and unwind risk,Crowding alters payoff asymmetry and catalyst sensitivity,Days-6M,Flows/position data align,Price moves despite opposite positioning,Crowding can persist,Pricing / asymmetry
30,Options,Options structure (instrument-specific),Execution context,Options dealers / hedgers,Gamma/vega inventory and expiry concentration,Dealer hedging can amplify/dampen short-horizon moves,Intraday-weeks,PIT option data adds OOS info after vol controls,Dealer sign assumptions fail,Not universal macro variable,Execution only
31,Market-implied,Market reaction residual,Confirmation,Investors across rates/FX/credit/equity,Unexpected response to known information,Reaction residual reveals what information dominates pricing,Minutes-days,Response persists across related markets,Immediate reversal / microstructure noise,Requires event expectation model,Thesis update
32,Execution,Price / flow acceptance,Execution,Liquidity takers/providers,Order-flow and market depth,Price is used only to judge implementation/acceptance after thesis,Intraday-days,Expected repricing occurs with depth/flow support,Thesis true but price refuses to reprice,Execution can be crowded,Entry / exit only
33,Market,Breadth / participation / liquidity,Confirmation,Equity constituents / investors,Participation and market depth,Broad participation distinguishes index headline from narrow repricing,Days-6M,Fundamentals/revisions participate broadly,Index rises while internals deteriorate,Not standalone technical momentum,Market confirmation
34,Equity,PIT estimate revisions,Ticker selection,Analysts / companies / investors,Information diffusion into forecasts,Revision breadth/magnitude measures changing cash-flow expectations,Weeks-12M,Reported fundamentals validate revisions,Revisions reverse before realization,Consensus can be crowded,Winner/loser selection
35,Equity,Profitability / ROIC,Ticker selection,Company management / capital providers,Unit economics and reinvestment returns,High/improving ROIC converts demand into value,1Q-5Y,Margins/FCF and reinvestment confirm,Accounting profit without cash return,Quality can be expensive,Fundamental quality
36,Equity,FCF / margin / cash-conversion quality,Ticker selection,Company / customers / suppliers,Monetization and working capital,Cash conversion verifies real demand capture,1Q-3Y,"Revenue, margins and FCF improve together",Backlog grows while cash conversion deteriorates,Quality may be priced,Bottleneck monetization
37,Equity,Balance sheet / refinancing quality,Ticker selection,Company / lenders,Debt maturity and liquidity,Balance sheet determines ability to survive/finance capacity,1Q-5Y,Coverage/cash/maturity improve or remain resilient,Refinancing cost overwhelms growth,Risk can be latent,Downside / survival
38,Equity,Relative valuation / implied expectations,Pricing,Investors / equity market,Required future growth/margins embedded in price,Reverse valuation estimates what must occur to justify price,Days-5Y,Fundamentals exceed implied hurdle,Strong company but implied expectations too high,Core pricing layer,Not-fully-priced probability
39,Equity,Capital allocation / dilution / capex,Ticker selection,Management / board,"Reinvestment, issuance, buybacks",Capital allocation determines capture of opportunity,1Q-5Y,Capex produces revenue/FCF without destructive dilution,Growth financed uneconomically,Plans may be announced early,Fundamental transmission
40,Equity,Macro-factor exposure,Cross-market mapping,Company customers/suppliers/financing,Revenue/cost/FX/rate exposures,Maps macro mechanism to company cash flows,1Q-3Y,Reported segment/currency/rate sensitivity confirms,Exposure hedge offsets macro shock,Exposure may change,Clean trade expression
41,Equity,Ownership / flow / liquidity,Pricing / execution,Domestic/foreign/institutional investors,Capital flow and capacity constraints,Flows affect how quickly fundamentals reprice,Days-6M,Ownership/flow aligns with repricing,Flows reverse without thesis change,Flow may be crowded,Timing / liquidity risk
42,Commodity,Physical inventory,Physical bottleneck,Producers / consumers / storage holders,Available stock buffers shocks,Inventory tightness determines scarcity and pricing power,Days-12M,Inventories decline relative to demand,Reported stocks distorted by location/quality,Curve may already price tightness,Physical state
