engine_id,category,target,valid_roles,status,canonical
SYSTEMIC_CRASH_RISK,SYSTEMIC,future drawdown probability/severity,FRAGILITY|EARLY_WARNING|TRIGGER|SEVERITY,SCIENTIFICALLY_TESTED_SCOPE_LIMITED,True
GROWTH_TRACKING,MACRO_STATE,future growth/state/acceleration,STATE|NOWCAST|LEADING,DATA_DEBT_OR_PROSPECTIVE,True
RECESSION_DETECTION,MACRO_STATE,future recession state,STATE|LEADING|CONFIRMATION,DATA_DEBT_OR_PROSPECTIVE,True
RECOVERY_REENTRY,MACRO_STATE,future stabilization/recovery state,RECOVERY|REENTRY,DATA_DEBT_OR_PROSPECTIVE,True
INFLATION_TRACKING,INFLATION,future inflation level/persistence,STATE|NOWCAST|LEADING,DATA_DEBT_OR_PROSPECTIVE,True
DISINFLATION_MONITOR,INFLATION,future disinflation state,STATE|CONFIRMATION,DATA_DEBT_OR_PROSPECTIVE,True
DEFLATION_EARLY_WARNING,INFLATION,future deflation risk,EARLY_WARNING|SEVERITY,DATA_DEBT_OR_PROSPECTIVE,True
MONETARY_POLICY_STANCE,POLICY,current policy restriction/easing state,STATE|POLICY_REACTION,DATA_DEBT_OR_PROSPECTIVE,True
POLICY_PATH,POLICY,future policy path/surprise,LEADING|SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
INTEREST_RATE_LEVELS,RATES,future nominal/real yield distribution,STATE|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
YIELD_CURVE_ANALYSIS,RATES,future curve state,STATE|LEADING|RECOVERY,DATA_DEBT_OR_PROSPECTIVE,True
TERM_PREMIUM_TRACKING,RATES,future term-premium state,STATE|FRAGILITY|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
CREDIT_CONDITIONS,CREDIT,future spread/default/credit-availability state,STATE|FRAGILITY|EARLY_WARNING,DATA_DEBT_OR_PROSPECTIVE,True
BANKING_STRESS,CREDIT,future banking stress/lending impairment,FRAGILITY|TRIGGER|SEVERITY,DATA_DEBT_OR_PROSPECTIVE,True
FUNDING_STRESS,FUNDING,future funding stress,STATE|EARLY_WARNING|TRIGGER,DATA_DEBT_OR_PROSPECTIVE,True
FINANCIAL_PLUMBING,FUNDING,repo/reserve/collateral state,STATE|FRAGILITY,DATA_DEBT_OR_PROSPECTIVE,True
LIQUIDITY_MEASUREMENT,LIQUIDITY,future liquidity expansion/contraction,STATE|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
GLOBAL_DOLLAR_LIQUIDITY,LIQUIDITY,future global USD availability,STATE|ASSET_DRIVER|FRAGILITY,DATA_DEBT_OR_PROSPECTIVE,True
FISCAL_SUSTAINABILITY,FISCAL,future fiscal pressure/sustainability,STATE|FRAGILITY|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
SOVEREIGN_STRESS,FISCAL,future sovereign stress,FRAGILITY|TRIGGER,DATA_DEBT_OR_PROSPECTIVE,True
HOUSEHOLD_STRESS,PRIVATE_SECTOR,future household stress/delinquency,STATE|FRAGILITY,DATA_DEBT_OR_PROSPECTIVE,True
CORPORATE_STRESS,PRIVATE_SECTOR,future corporate stress/cashflow impairment,STATE|FRAGILITY,DATA_DEBT_OR_PROSPECTIVE,True
VALUATION_FRAGILITY,VALUATION,future fragility conditional on valuation,FRAGILITY|CONTEXT_ONLY,DATA_DEBT_OR_PROSPECTIVE,True
CAPITAL_FORMATION,FLOW,future investment/issuance/capex state,CAPITAL_FORMATION|FLOW,DATA_DEBT_OR_PROSPECTIVE,True
POSITIONING_CROWDING,FLOW,future crowding/positioning state,POSITIONING|FRAGILITY,DATA_DEBT_OR_PROSPECTIVE,True
FX_MACRO,FX,future FX payoff distribution from economic drivers,ASSET_DRIVER|SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
COMMODITY_MACRO,COMMODITY,future commodity payoff/physical state,ASSET_DRIVER|STATE,DATA_DEBT_OR_PROSPECTIVE,True
GOLD_MACRO,COMMODITY,future gold payoff from non-price economic drivers,ASSET_DRIVER|SCENARIO_DISCRIMINATOR,DATA_DEBT_OR_PROSPECTIVE,True
ENERGY_IMBALANCE,COMMODITY,future energy physical imbalance/payoff,PHYSICAL_CONSTRAINT|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
INDUSTRIAL_METALS,COMMODITY,future metals physical imbalance/payoff,PHYSICAL_CONSTRAINT|ASSET_DRIVER,DATA_DEBT_OR_PROSPECTIVE,True
AGRICULTURE_SHOCK,COMMODITY,future agricultural supply shock,PHYSICAL_CONSTRAINT|EARLY_WARNING,DATA_DEBT_OR_PROSPECTIVE,True
SHIPPING_LOGISTICS,PHYSICAL,future shipping/logistics stress,BOTTLENECK|EARLY_WARNING,DATA_DEBT_OR_PROSPECTIVE,True
