engine,scenario,status,evidence,placement,remaining_risk
macro,growth_scare_disinflation,PROMISING_NOT_PROVEN,"Expanding-OOS AUC 0.867, Brier 0.143, n=80, events=10, fold-min 0.364",Forecast/current state + EBP + FCI-G,Shorter FCI-G window; revised history; fold instability
macro,overheating_reflation,PROMISING_MINIMAL,"SPF-only AUC 0.725, n=157, events=22; richer stable baselines generally worse",Minimal forecast-state baseline,Forecast revisions; regime transfer
macro,soft_landing_transition,PROMISING_MINIMAL,"SPF-only AUC 0.750, n=109, events=18; added features reduced AUC",Forecast distribution/calibration,Brier weak; not trading signal
macro,stagflation_transition,SAMPLE_LIMITED_REJECT_HIGH_CONFIDENCE,"SPF-only AUC 0.631, only 9 OOS events; richer models unstable/worse",Tail scenario label only,Rare event; insufficient sample
index,first_ath_after_long_base,PROMISING_PRICE_STATE,"Non-overlapping 12m episodes n=21; median 14.5%, +7.2% vs baseline; P+ 85.7%",Index-state context; condition on fundamentals/credit/rates,S&P monthly only; transfer to Russell unproven; no breadth/PIT revisions
index,repeated_ath_cluster,WEAK_INCREMENTAL_EDGE,Non-overlapping 12m n=42; median delta vs baseline 1.5%,Observation only; no standalone directional vote,Conditional interactions may matter
index/rates,ath_plus_long_rate_shock,NEGATIVE_MODIFIER_CANDIDATE,"Non-overlapping 12m n=25; median 2.2%, delta -5.1%; P+ delta -8.4%",Cost-of-capital bottleneck / continuation-risk modifier,Small sample; legacy/revised rate history; not Russell-specific
crash,vol_credit_separation,PLACEMENT_SUPPORTED_SMALL_SAMPLE,"6m non-overlap: vol/no-credit n=17, median 6.6%, P(DD<-10) 17.6%; vol+credit n=15, median 3.2%, P(DD<-10) 33.3%",Separate volatility shock from credit-confirmed stress; VIX alone is not crash signal,Small episode counts; funding confirmation still required
index/credit,credit_improving_near_ath,PROMISING_SMALL_SAMPLE,"Non-overlapping 12m n=12; median 14.5%, P+ 83.3%, delta 7.2%",Credit confirmation can improve ATH quality assessment,Small sample; no earnings/breadth
rates/index,long_rate_shock_all_market,NEGATIVE_MODIFIER_PROMISING,"Non-overlapping 12m n=68; median 2.0%, delta -5.3%; P+ delta -10.0%; median max-DD -7.6%",Cost-of-capital state/risk budget modifier; not automatic short,Long-rate series legacy/revised; needs real-yield/term-premium decomposition OOS
crash,post_liquidation_normalization,INSUFFICIENT_SAMPLE_NO_EDGE_CLAIM,"Non-overlapping 12m n=7; median 11.8%, P+ 57.1%; highly unstable across horizons",Keep scenario candidate but no production edge claim,Only 7 12m episodes under frozen definition; funding/liquidation data missing
index/credit,depressed_price_credit_improves,INSUFFICIENT_SAMPLE,Non-overlapping 12m n=7; median 13.8% but P+ 57.1%,Research candidate only,Only 7 episodes; needs funding/earnings confirmation
