primitive_id,market,causal_role,metric,source_requirement,point_in_time_required,directional_by_itself,proof_status,live_decision_weight,capital_permission
us_equities:origin:analyst_eps_revision,us_equities,origin,analyst_eps_revision,licensed point-in-time estimate history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:analyst_revenue_revision,us_equities,origin,analyst_revenue_revision,licensed point-in-time estimate history,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:guidance_surprise,us_equities,origin,guidance_surprise,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:earnings_surprise,us_equities,origin,earnings_surprise,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:revenue_surprise,us_equities,origin,revenue_surprise,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:gross_margin_inflection,us_equities,origin,gross_margin_inflection,SEC/company filings point-in-time,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:customer_qualification,us_equities,origin,customer_qualification,company filings/customer disclosures/supply-chain evidence,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:order_backlog_change,us_equities,origin,order_backlog_change,company filings,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:capacity_constraint,us_equities,origin,capacity_constraint,company filings/industry capacity data,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:industry_contract_price,us_equities,origin,industry_contract_price,specialized industry pricing,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:borrow_fee_shock,us_equities,origin,borrow_fee_shock,securities-lending vendor; public reporting incomplete,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:short_interest_change,us_equities,origin,short_interest_change,FINRA/SRO snapshots; lending cost still needed,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:insider_purchase,us_equities,origin,insider_purchase,SEC Form 4,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:buyback_activation,us_equities,origin,buyback_activation,filings and transaction disclosures,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:etf_creation_flow,us_equities,origin,etf_creation_flow,fund sponsor/exchange/vendor,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:index_inclusion_flow,us_equities,origin,index_inclusion_flow,index provider announcements,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:supplier_customer_shock,us_equities,origin,supplier_customer_shock,company filings/customer disclosures/supply-chain evidence,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
us_equities:origin:patent_product_event,us_equities,origin,patent_product_event,official patent/product disclosures,True,True,MAPPED_NOT_PROVEN,0.0,BLOCKED
