source,target,mechanism,sign,lag,role,validation,condition
AI adoption,Data-center capex,AI workloads require more compute capacity,+,0-4Q,DIRECT,CORE,Hyperscaler/enterprise AI demand
Data-center capex,Accelerated compute,New clusters require GPUs/accelerators,+,0-4Q,DIRECT,CORE,Capex actually converts into equipment orders
Data-center capex,Servers / racks,Capacity build requires servers and rack systems,+,0-4Q,DIRECT,CORE,Projects funded and permitted
Accelerated compute,HBM / DRAM demand,Accelerators require high-bandwidth memory,+,0-2Q,DIRECT,CORE,Architecture remains memory-intensive
Accelerated compute,NAND / enterprise SSD demand,Training/inference raises storage and checkpoint demand,+,0-4Q,DIRECT,CORE,Storage intensity rises with workload
Accelerated compute,Networking bandwidth,Larger clusters require scale-up/scale-out fabrics,+,0-2Q,DIRECT,CORE,Cluster sizes/network traffic rise
Networking bandwidth,Optical transceivers,Higher bandwidth/distance increases optical links,+,0-4Q,DIRECT,CORE,Copper reach/power limits bind
Optical transceivers,Lasers / photonics,Optical modules need lasers and photonic components,+,0-4Q,SECOND,CORE,Optical architecture expands
Optical transceivers,DSP / optical semis,Higher-speed modules need DSP/driver/TIA silicon,+,0-4Q,SECOND,CORE,Module speeds increase
Lasers / photonics,Silicon photonics,Integration shifts more optical functions onto silicon,+,1-8Q,SECOND,CONDITIONAL,CPO/silicon photonics adoption
Optical transceivers,Fiber / connectors,More optical links consume fiber and connectors,+,0-4Q,SECOND,CORE,Port counts/fiber runs rise
Lasers / photonics,Advanced packaging,Photonic integration raises packaging/alignment demand,+,0-6Q,SECOND,CONDITIONAL,Packaging is not vertically integrated
Advanced packaging,Test / metrology,Tighter tolerances increase test/inspection demand,+,0-6Q,THIRD,CORE,Yield management remains critical
Data-center capex,Electrical load,New capacity raises firm electricity demand,+,0-8Q,DIRECT,CORE,Projects energize
Electrical load,Grid interconnection,Large loads require transmission/distribution connection,+,1-12Q,DIRECT,CORE,Grid-tied model
Grid interconnection,Transformers,Substations/data centers require power transformers,+,1-12Q,SECOND,CORE,Transformer lead times/capacity constrained
Grid interconnection,Switchgear,Power distribution requires switchgear/busway,+,0-8Q,SECOND,CORE,Projects proceed
