legacy_path,decision,target_component,reason
app.py,REWRITE,apps/dashboard_app.py,"missing dashboard.html and no fail-closed error surface"
run.py,REWRITE,application/build_snapshot.py,"forces chop, computes MTF after decision, recomputes entries for UI"
gcfis/orchestrator.py,REWRITE,application/pipeline.py,"dict-soup ordering, key mismatch, silent exceptions, EV field bug"
gcfis/engines/entry.py,QUARANTINE,research/entry_candidates.py,"new OHLC branch untested and activates rejected legacy MQA"
gcfis/engines/risk_range_hedgeye.py,ARCHIVE,research/legacy_mqa.py,"public information cannot establish exact proprietary formula; OOS loses to ATR"
regime_multitf.py,REWRITE,sensors/mtf_fusion.py,"must run before policy decision"
gcfis/engines/crash_bottom.py,QUARANTINE,research/crash_state.py,"reads keys not provided by orchestrator; block-aware evidence insufficient"
gcfis/engines/surge.py,QUARANTINE,research/surge_state.py,"reads wrong liquidity key and uses hand-set priors"
metric_grades.json,REPLACE,evidence/applicability_registry.json,"global badges are not version/asset/timeframe bound and not enforced"
validate_all.py,REPLACE,validation/run_all.py,"ignores child exit codes"
gcfis/tests/test_all.py,REPLACE,tests/,"pytest discovers zero tests; OHLC entry branch not covered"
data_layer.py,REWRITE,data/ingestion.py,"needs point-in-time provenance, revision semantics and immutable manifests"
dashboard_live.html,KEEP_SHELL,ui/template.html,"visual shell only; remove hardcoded research claims and all calculations"
gcfis/core/contracts.py,REWRITE,contracts/,"missing formula/evidence hashes and canonical execution provenance"
gcfis/meta/final_desk.py,REWRITE,policy/final_book.py,"depends on broken EV field and noncanonical field names"
price_setups.py,QUARANTINE,research/price_setup_baselines.py,"fallback can surface signals when conviction pipeline is empty"
gcfis/engines/asymmetric_discovery.py,QUARANTINE,research/hypothesis_lab.py,"structural hypotheses must never populate live picks"
research/sp500_panel.parquet,DEV_ONLY,data/legacy/,"fixed survivor panel, 2013-2018, not point-in-time membership"
research/macro_panel.parquet,DEV_ONLY,data/legacy/,"high missingness and no vintage/release-time handling"
warroom/render.py,REWRITE,ui/render.py,"multiple duplicate decision stacks and claims outside canonical ticket"
