phase_order,tab,component_id,component_name,decision_role,current_status,free_proof_feasibility,free_source_stack,main_blocker,impact_on_final_result,bias_if_ignored,legal_fallback,next_action
1,MISSION CONTROL,MC01,World Nowcast Strip,Observation cockpit,FIX_DESCRIPTIVE,FULL,All validated upstream outputs,None for current descriptive/control role,No predictive permission by design,Permission leakage,No alpha claim; usable as context now.,Retain; consume only validated upstream outputs
2,MISSION CONTROL,MC02,Data vs Reality / Contradiction,Expose conflicts and unreliable data,FIX_CONTROL,FULL,All validated upstream outputs,None for current descriptive/control role,No predictive permission by design,Permission leakage,Control is usable; does not prove market edge.,Retain; consume only validated upstream outputs
3,MISSION CONTROL,MC03,Early-Warning State Display,Display upstream risk states,FIX_CONTROL,FULL,All validated upstream outputs,None for current descriptive/control role,No predictive permission by design,Permission leakage,Control is usable; does not prove market edge.,Retain; consume only validated upstream outputs
4,MISSION CONTROL,MC04,Rotation / Chain / Bottleneck Stage,Display transmission progress,PARTIAL_FREE,PARTIAL,All validated upstream outputs,"Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
5,MISSION CONTROL,MC05,Best Opportunities / Why-in / Why-out,Display selector receipts only,BLOCKED_SELECTOR,PARTIAL,All validated upstream outputs,No proven component set or selector tournament,Cannot produce trustworthy Top-K,Overclaim / leakage / survivorship / proxy substitution,Requires proven components and selector results.,Wait for market-specific component and selector gates
6,MISSION CONTROL,MC06,Evidence Freshness / Confidence Ceiling,Prevent stale-data overclaim,FIX_CONTROL,FULL,All validated upstream outputs,None for current descriptive/control role,No predictive permission by design,Permission leakage,Control is usable; does not prove market edge.,Retain; consume only validated upstream outputs
7,MISSION CONTROL,MC07,Permission State,Enforce observe/research/paper/live ceiling,FIX_CONTROL,FULL,All validated upstream outputs,None for current descriptive/control role,No predictive permission by design,Permission leakage,Control is usable; does not prove market edge.,Retain; consume only validated upstream outputs
8,MACRO & REGIME,MR01,Release & Vintage Ledger,PIT macro data foundation,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
9,MACRO & REGIME,MR02,Revision & Methodology Risk,Detect revisions and series breaks,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
10,MACRO & REGIME,MR03,Official vs Administrative Reality,Cross-check headline data,PARTIAL_FREE,PARTIAL,"BLS, BEA, Census, FRED/ALFRED, BIS, central banks, Treasury","Coverage, PIT lineage or entity mapping incomplete",May attenuate signal or introduce selection bias,Overclaim / leakage / survivorship / proxy substitution,Free proxies exist but coverage/PIT quality is incomplete.,"Build free proxy, quantify missingness, run sensitivity bounds"
